Player,Link,Tm,Money,Signed Using,Year
LeBron James,jamesle01,CLE,30963450,Early Bird,2017
Mike Conley,conlemi01,MEM,26540100,Cap Space,2017
DeMar DeRozan,derozde01,TOR,26540100,Cap Space,2017
James Harden,hardeja01,HOU,26540100,Bird Rights,2017
Al Horford,horfoal01,BOS,26540100,Cap Space,2017
Russell Westbrook,westbru01,OKC,26540100,Bird Rights,2017
Kevin Durant,duranke01,GSW,26540100,Cap Space,2017
Dirk Nowitzki,nowitdi01,DAL,25000000,Bird Rights,2017
Carmelo Anthony,anthoca01,NYK,24559380,Bird Rights,2017
Damian Lillard,lillada01,POR,24328425,1st Round Pick,2017
Chris Bosh,boshch01,MIA,23741060,Bird Rights,2017
Dwyane Wade,wadedw01,CHI,23200000,Cap Space,2017
Dwight Howard,howardw01,ATL,23180275,Cap Space,2017
Chris Paul,paulch01,LAC,22868828,Bird Rights,2017
Bradley Beal,bealbr01,WAS,22116750,Cap Space,2017
Anthony Davis,davisan02,NOP,22116750,1st Round Pick,2017
Andre Drummond,drumman01,DET,22116750,Cap Space,2017
Chandler Parsons,parsoch01,MEM,22116750,Cap Space,2017
Hassan Whiteside,whiteha01,MIA,22116750,Cap Space,2017
Harrison Barnes,barneha02,DAL,22116750,Cap Space,2017
Derrick Rose,rosede01,NYK,21323250,Bird Rights,2017
Marc Gasol,gasolma01,MEM,21165675,Bird Rights,2017
Kevin Love,loveke01,CLE,21165675,Bird Rights,2017
DeAndre Jordan,jordade01,LAC,21165675,Bird Rights,2017
Brook Lopez,lopezbr01,BRK,21165675,Bird Rights,2017
Nicolas Batum,batumni01,CHO,20869566,Cap Space,2017
LaMarcus Aldridge,aldrila01,SAS,20575005,Cap Space,2017
Blake Griffin,griffbl01,LAC,20140838,Bird Rights,2017
Paul Millsap,millspa01,ATL,20072033,Bird Rights,2017
Ryan Anderson,anderry01,HOU,18735364,Cap Space,2017
Allen Crabbe,crabbal01,POR,18500000,Cap Space,2017
Paul George,georgpa01,IND,18314532,1st Round Pick,2017
Luol Deng,denglu01,LAL,18000000,Cap Space,2017
Kawhi Leonard,leonaka01,SAS,17638063,Bird Rights,2017
Kyrie Irving,irvinky01,CLE,17638063,Bird Rights,2017
Jimmy Butler,butleji01,CHI,17552209,Bird Rights,2017
Tobias Harris,harrito02,DET,17200000,Bird Rights,2017
Enes Kanter,kanteen01,OKC,17145838,Bird Rights,2017
Wesley Matthews,matthwe02,DAL,17100000,Cap Space,2017
Greg Monroe,monrogr01,MIL,17100000,Cap Space,2017
Evan Fournier,fournev01,ORL,17000000,Cap Space,2017
Joakim Noah,noahjo01,NYK,17000000,Cap Space,2017
Bismack Biyombo,biyombi01,ORL,17000000,Cap Space,2017
John Wall,walljo01,WAS,16957900,1st Round Pick,2017
DeMarcus Cousins,couside01,NOP,16957900,1st Round Pick,2017
Klay Thompson,thompkl01,GSW,16663575,1st Round Pick,2017
Evan Turner,turneev01,POR,16393443,Cap Space,2017
Gordon Hayward,haywago01,UTA,16073140,Bird Rights,2017
Timofey Mozgov,mozgoti01,LAL,16000000,Cap Space,2017
Ian Mahinmi,mahinia01,WAS,15944154,Cap Space,2017
