Rk,Player,Tm,Cap Hit,2012-13,2013-14,2014-15,2015-16,2016-17,Signed Using,Guaranteed
1,Kobe Bryant,LAL,27849149,27849149,30453805,,,,Bird Rights,58302954
2,Dirk Nowitzki,DAL,20907128,20907128,22721381,,,,Bird Rights,43628509
3,Carmelo Anthony,NYK,20463024,20463024,22407474,24351924,,,Bird Rights,67222422
4,Amar'e Stoudemire,NYK,19948799,19948799,21679893,23410988,,,Bird Rights,65039680
5,Joe Johnson,BRK,19752645,19752645,21466718,23180790,24894863,,Bird Rights,89295016
6,Dwight Howard,LAL,19536360,19536360,,,,,Bird Rights,19536360
7,Pau Gasol,LAL,19000000,19000000,19285850,,,,Bird Rights,38285850
8,Chris Paul,LAC,17779458,17779458,,,,,Bird Rights,17779458
9,LeBron James,MIA,17545000,17545000,19067500,20590000,22112500,,Bird Rights,57202500
10,Chris Bosh,MIA,17545000,17545000,19067500,20590000,22112500,,Bird Rights,57202500
11,Dwyane Wade,MIA,17182000,17182000,18673000,20164000,21655000,,Bird Rights,56019000
12,Deron Williams,BRK,17177795,17177795,18466130,19754465,21042800,22331135,Bird Rights,98772325
13,Andrew Bynum,PHI,16889000,16889000,,,,,Bird Rights,16889000
14,Paul Pierce,BOS,16790345,16790345,15333334,,,,Bird Rights,16790345
15,Kevin Durant,OKC,16669629,16669629,17832627,18995624,20158622,,Bird Rights,73656502
16,Zach Randolph,MEM,16500000,16500000,17800000,16500000,,,Bird Rights,34300000
17,Rudy Gay,TOR,16460538,16460538,17888931,19317325,,,Bird Rights,34349469
18,Derrick Rose,CHI,16402500,16402500,17632688,18862875,20093063,21323250,Bird Rights,94314376
19,Al Jefferson,UTA,15000000,15000000,,,,,Bird Rights,15000000
20,Carlos Boozer,CHI,15000000,15000000,15300000,16800000,,,Bird Rights,47100000
21,Andre Iguodala,DEN,14968250,14968250,16154750,,,,Bird Rights,31123000
22,Manu Ginobili,SAS,14107491,14107491,,,,,Bird Rights,14107491
23,Marc Gasol,MEM,13891359,13891359,14860523,15829688,,,Bird Rights,44581570
24,Rashard Lewis,NOH,13765000,13765000,,,,,,13765000
25,Russell Westbrook,OKC,13668750,13668750,14693906,15719062,16744218,17769374,Bird Rights,78595310
26,Eric Gordon,NOH,13668750,13668750,14283844,14898938,15514031,,Bird Rights,42851532
