Player,Link,Tm,Money,Signed Using,Year
Stephen Curry,curryst01,GSW,40231758,Bird Rights,2020
Chris Paul,paulch01,OKC,38506482,Bird Rights,2020
Russell Westbrook,westbru01,HOU,38178000,Bird Rights,2020
John Wall,walljo01,WAS,37800000,Bird Rights,2020
James Harden,hardeja01,HOU,37800000,Bird Rights,2020
LeBron James,jamesle01,LAL,37436858,Cap Space,2020
Kevin Durant,duranke01,BRK,37199000,Sign and Trade,2020
Blake Griffin,griffbl01,DET,34234964,Bird Rights,2020
Kyle Lowry,lowryky01,TOR,33296296,Bird Rights,2020
Paul George,georgpa01,LAC,33005556,Maximum Salary,2020
Klay Thompson,thompkl01,GSW,32742000,Bird Rights,2020
Jimmy Butler,butleji01,MIA,32742000,Sign and Trade,2020
Kemba Walker,walkeke02,BOS,32742000,Sign and Trade,2020
Kawhi Leonard,leonaka01,LAC,32742000,Cap Space,2020
Gordon Hayward,haywago01,BOS,32700690,Cap space,2020
Mike Conley,conlemi01,UTA,32511623,Cap Space,2020
Kyrie Irving,irvinky01,BRK,31742000,Cap space,2020
Tobias Harris,harrito02,PHI,31034483,Bird Rights,2020
Khris Middleton,middlkh01,MIL,30603448,Bird Rights,2020
Paul Millsap,millspa01,DEN,30500000,Cap space,2020
Damian Lillard,lillada01,POR,29802321,1st Round Pick,2020
Kevin Love,loveke01,CLE,28900000,Bird Rights,2020
Nikola Vucevic,vucevni01,ORL,28000000,Bird Rights,2020
Al Horford,horfoal01,PHI,28000000,Cap Space,2020
DeMar DeRozan,derozde01,SAS,27739975,Cap Space,2020
CJ McCollum,mccolcj01,POR,27556959,1st Round Pick,2020
Joel Embiid,embiijo01,PHI,27504630,1st Round Pick,2020
Andrew Wiggins,wiggian01,GSW,27504630,1st Round Pick,2020
Kristaps Porzingis,porzikr01,DAL,27285000,Bird Rights,2020
D'Angelo Russell,russeda01,MIN,27285000,Sign and Trade,2020
Otto Porter,porteot01,CHI,27250576,Bird Rights,2020
Devin Booker,bookede01,PHO,27250000,1st round pick,2020
Karl-Anthony Towns,townska01,MIN,27250000,1st Round Pick,2020
Bradley Beal,bealbr01,WAS,27093019,Cap Space,2020
Anthony Davis,davisan02,LAL,27093019,1st Round Pick,2020
Andre Drummond,drumman01,CLE,27093019,Cap Space,2020
Hassan Whiteside,whiteha01,POR,27093018,Cap Space,2020
Nikola Jokic,jokicni01,DEN,26573595,Bird Rights,2020
Jrue Holiday,holidjr01,NOP,26131111,Bird Rights,2020
